Date,Price,Open,High,Low,Vol_BTC,Vol_USD,retornos
2020-07-26,9162,9208,9218,9139,312980.0,"2,867,522,760",-0.01
2020-08-02,11022,9932,11367,9894,908990.0,"10,018,887,780",0.079
2020-08-09,11224,11066,11461,10981,470240.0,"5,277,973,760",0.114
2020-08-16,11889,11681,12041,11546,564110.0,"6,706,703,790",0.056
2020-08-23,12282,11898,12444,11764,628410.0,"7,718,131,620",0.019
2020-08-30,11753,11641,11824,11587,429130.0,"5,043,564,890",-0.022
2020-09-06,11644,11701,11760,11563,496140.0,"5,777,054,160",0.005
2020-09-13,10376,10296,10400,9887,12400.0,"128,662,400",-0.12
2020-09-20,10675,10332,10744,10264,96640.0,"1,031,632,000",0.003
2020-09-27,10416,10919,10987,10328,109850.0,"1,144,197,600",0.057
2020-10-04,10693,10776,10946,10685,72290.0,"772,996,970",-0.013
2020-10-11,10789,10672,10789,10623,48860.0,"527,150,540",-0.01
2020-10-18,11533,11370,11715,11227,84020.0,"969,002,660",0.065
2020-10-25,11753,11507,11823,11413,73040.0,"858,439,120",0.012
2020-11-01,13061,13033,13229,12792,89470.0,"1,168,567,670",0.133
2020-11-08,13561,13759,13828,13214,97760.0,"1,325,723,360",0.056
2020-11-15,15327,15483,15819,14816,165040.0,"2,529,568,080",0.125
2020-11-22,16715,15954,16880,15870,118090.0,"1,973,874,350",0.03
2020-11-29,18379,18428,18756,18016,127350.0,"2,340,565,650",0.155
2020-12-06,19698,18186,19831,18186,185590.0,"3,655,751,820",-0.013
2020-12-13,19170,19368,19424,18908,61980.0,"1,188,156,600",0.065
2020-12-20,19273,19176,19346,19007,67110.0,"1,293,411,030",-0.01
2020-12-27,22728,23474,24101,22015,154690.0,"3,515,794,320",0.224
2021-01-03,27057,26259,27444,26144,126980.0,"3,435,697,860",0.119
2021-01-10,32022,33016,33587,28204,255270.0,"8,174,255,940",0.257
2021-01-17,35544,38195,38217,30411,251040.0,"8,922,965,760",0.157
2021-01-24,36613,35838,37436,34801,111520.0,"4,083,081,760",-0.062
2021-01-31,32252,32244,34854,31967,142430.0,"4,593,652,360",-0.1
2021-02-07,33515,33106,34685,32324,126320.0,"4,233,614,800",0.027
2021-02-14,46395,38853,46596,38057,248470.0,"11,527,765,650",0.174
